Person_ID,Age
P00001,76
P00002,49
P00003,51
P00004,48
P00005,68
P00006,79
P00007,74
P00008,67
P00009,22
P00010,22
P00011,54
P00012,44
P00013,26
P00014,56
P00015,25
P00016,40
P00017,26
P00018,29
P00019,42
P00020,51
P00021,24
P00022,76
P00023,58
P00024,66
P00025,30
P00026,79
P00027,36
P00028,60
P00029,55
P00030,68
P00031,22
P00032,22
P00033,18
P00034,65
P00035,18
P00036,74
P00037,25
P00038,24
P00039,40
P00040,79
P00041,33
P00042,48
P00043,75
P00044,62
P00045,18
P00046,45
P00047,35
P00048,48
P00049,55
P00050,44
P00051,48
P00052,50
P00053,62
P00054,72
P00055,74
P00056,26
P00057,30
P00058,56
P00059,27
P00060,41
P00061,41
P00062,32
P00063,30
P00064,56
P00065,59
P00066,24
P00067,60
P00068,70
P00069,45
P00070,23
P00071,25
P00072,51
P00073,49
P00074,31
P00075,38
P00076,50
P00077,22
P00078,41
P00079,32
P00080,78
P00081,34
P00082,27
P00083,28
P00084,52
P00085,34
P00086,39
P00087,53
P00088,50
P00089,26
P00090,41
P00091,69
P00092,56
P00093,47
P00094,23
P00095,34
P00096,35
P00097,35
P00098,27
P00099,59
P00100,29
P00101,43
P00102,75
P00103,79
P00104,48
P00105,53
P00106,66
P00107,25
P00108,52
P00109,25
P00110,75
P00111,44
P00112,73
P00113,40
P00114,48
P00115,49
P00116,51
P00117,23
P00118,51
P00119,33
P00120,30
P00121,80
P00122,29
P00123,35
P00124,33
P00125,20
P00126,50
P00127,19
P00128,25
P00129,64
P00130,19
P00131,40
P00132,53
P00133,61
P00134,64
P00135,24
P00136,51
P00137,55
P00138,29
P00139,65
P00140,38
P00141,43
P00142,39
P00143,39
P00144,44
P00145,29
P00146,44
P00147,78
P00148,40
P00149,75
P00150,18
P00151,24
P00152,36
P00153,33
P00154,22
P00155,22
P00156,19
P00157,54
P00158,32
P00159,54
P00160,52
P00161,73
P00162,56
P00163,31
P00164,80
P00165,51
P00166,62
P00167,32
P00168,32
P00169,48
P00170,24
P00171,44
P00172,48
P00173,44
P00174,22
P00175,41
P00176,40
P00177,39
P00178,44
P00179,70
P00180,60
P00181,19
P00182,56
P00183,19
P00184,54
P00185,43
P00186,23
P00187,25
P00188,79
P00189,19
P00190,35
P00191,67
P00192,58
P00193,50
P00194,32
P00195,62
P00196,72
P00197,56
P00198,58
P00199,38
P00200,20
P00201,50
P00202,33
P00203,39
P00204,23
P00205,55
P00206,33
P00207,38
P00208,38
P00209,33
P00210,68
P00211,35
P00212,26
P00213,42
P00214,35
P00215,72
P00216,45
P00217,58
P00218,42
P00219,36
P00220,36
P00221,33
P00222,57
P00223,19
P00224,45
P00225,61
P00226,31
P00227,24
P00228,38
P00229,35
P00230,77
P00231,71
P00232,43
P00233,51
P00234,56
P00235,72
P00236,50
P00237,75
P00238,28
P00239,37
P00240,18
P00241,72
P00242,29
P00243,31
P00244,27
P00245,32
P00246,19
P00247,73
P00248,54
P00249,30
P00250,40
P00251,71
P00252,20
P00253,21
P00254,79
P00255,63
P00256,68
P00257,59
P00258,62
P00259,56
P00260,24
P00261,23
P00262,22
P00263,64
P00264,50
P00265,80
P00266,75
P00267,69
P00268,55
P00269,59
P00270,54
P00271,58
P00272,48
P00273,60
P00274,23
P00275,22
P00276,31
P00277,32
P00278,25
P00279,64
P00280,74
P00281,40
P00282,54
P00283,19
P00284,20
P00285,33
P00286,43
P00287,67
P00288,40
P00289,77
P00290,49
P00291,29
P00292,69
P00293,36
P00294,64
P00295,66
P00296,62
P00297,53
P00298,37
P00299,64
P00300,42
P00301,23
P00302,57
P00303,25
P00304,41
P00305,73
P00306,35
P00307,55
P00308,38
P00309,40
P00310,51
P00311,38
P00312,53
P00313,18
P00314,55
P00315,29
P00316,71
P00317,50
P00318,19
P00319,34
P00320,43
P00321,28
P00322,18
P00323,30
P00324,32
P00325,72
P00326,40
P00327,63
P00328,43
P00329,32
P00330,29
P00331,48
P00332,27
P00333,20
P00334,31
P00335,29
P00336,57
P00337,47
P00338,50
P00339,52
P00340,42
P00341,26
P00342,47
P00343,34
P00344,39
P00345,51
P00346,22
P00347,78
P00348,40
P00349,41
P00350,37
P00351,29
P00352,44
P00353,56
P00354,19
P00355,76
P00356,49
P00357,45
P00358,24
P00359,37
P00360,39
P00361,54
P00362,78
P00363,22
P00364,50
P00365,34
P00366,43
P00367,67
P00368,72
P00369,43
P00370,43
P00371,66
P00372,37
P00373,58
P00374,62
P00375,73
P00376,33
P00377,23
P00378,33
P00379,51
P00380,60
P00381,35
P00382,19
P00383,28
P00384,59
P00385,66
P00386,57
P00387,42
P00388,71
P00389,73
P00390,48
P00391,26
P00392,59
P00393,51
P00394,36
P00395,30
P00396,58
P00397,42
P00398,21
P00399,41
P00400,21
P00401,75
P00402,49
P00403,23
P00404,46
P00405,55
P00406,76
P00407,54
P00408,31
P00409,40
P00410,33
P00411,20
P00412,54
P00413,35
P00414,18
P00415,79
P00416,19
P00417,30
P00418,48
P00419,37
P00420,33
P00421,23
P00422,59
P00423,37
P00424,23
P00425,49
P00426,58
P00427,34
P00428,75
P00429,51
P00430,52
P00431,19
P00432,42
P00433,28
P00434,28
P00435,21
P00436,27
P00437,35
P00438,47
P00439,50
P00440,26
P00441,79
P00442,19
